region,disease,incidence,lower,upper
caribbean,retinoblastoma,42,20,80
central america,neuroblastoma,255,120,386
central america,retinoblastoma,302,144,434
south america,neuroblastoma,714,409,968
south america,retinoblastoma,657,461,906
oceania,neuroblastoma,26,10,50
oceania,retinoblastoma,16,2,32
australia/new zealand,neuroblastoma,58,34,89
australia/new zealand,retinoblastoma,26,11,49
eastern africa,other_tot,3311,2099,4722
southern africa,other_tot,67,23,149
western africa,other_tot,8554,4503,16436
northern africa,other_tot,466,265,607
eastern asia,other_tot,689,250,1303
south-central asia,other_tot,3418,2247,5750
south-eastern asia,other_tot,1063,662,1689
western asia,other_tot,124,73,195
eastern europe,other_tot,93,54,140
northern europe,other_tot,15,6,27
southern europe,other_tot,16,6,28
western europe,other_tot,16,5,30
northern america,other_tot,54,34,76
caribbean,other_tot,41,18,65
central america,other_tot,406,157,877
south america,other_tot,304,173,448
oceania,other_tot,7,2,17
australia/new zealand,other_tot,2,0,6
eastern africa,renal_tumours,3956,2805,6066
southern africa,renal_tumours,920,603,1458
western africa,renal_tumours,9008,5718,14074
northern africa,renal_tumours,1263,853,1750
eastern asia,renal_tumours,1349,559,2106
south-central asia,renal_tumours,4982,3428,6221
south-eastern asia,renal_tumours,1226,834,1776
western asia,renal_tumours,607,396,881
eastern europe,renal_tumours,498,311,685
northern europe,renal_tumours,138,77,191
southern europe,renal_tumours,192,140,241
western europe,renal_tumours,249,185,313
northern america,renal_tumours,576,396,692
caribbean,renal_tumours,88,47,143
central america,renal_tumours,417,199,610
south america,renal_tumours,921,618,1263
oceania,renal_tumours,19,4,36
australia/new zealand,renal_tumours,42,14,69
eastern africa,soft_tissue_sarcoma,9408,5562,16697
southern africa,soft_tissue_sarcoma,997,610,1789
western africa,soft_tissue_sarcoma,5949,4060,9009
northern africa,soft_tissue_sarcoma,1141,833,1643
eastern asia,soft_tissue_sarcoma,2141,1277,2943
south-central asia,soft_tissue_sarcoma,5525,4465,6680
south-eastern asia,soft_tissue_sarcoma,1427,1032,1928
western asia,soft_tissue_sarcoma,742,577,929
eastern europe,soft_tissue_sarcoma,393,269,508
northern europe,soft_tissue_sarcoma,150,103,202
southern europe,soft_tissue_sarcoma,202,151,247
western europe,soft_tissue_sarcoma,251,196,317
northern america,soft_tissue_sarcoma,667,530,818
caribbean,soft_tissue_sarcoma,103,57,174
central america,soft_tissue_sarcoma,627,393,972
south america,soft_tissue_sarcoma,1341,915,2047
oceania,soft_tissue_sarcoma,50,24,95
australia/new zealand,soft_tissue_sarcoma,68,39,116
