region,disease,data,val
caribbean,nephroblastoma,incidence,82
caribbean,nephroblastoma,lower,43
caribbean,nephroblastoma,upper,136
caribbean,renal_carcinoma,incidence,3
caribbean,renal_carcinoma,lower,0
caribbean,renal_carcinoma,upper,11
caribbean,unspecified_renal,incidence,4
caribbean,unspecified_renal,lower,0
caribbean,unspecified_renal,upper,22
central america,renal_tumours,incidence,417
central america,renal_tumours,lower,199
central america,renal_tumours,upper,610
central america,nephroblastoma,incidence,340
central america,nephroblastoma,lower,133
central america,nephroblastoma,upper,542
central america,renal_carcinoma,incidence,36
central america,renal_carcinoma,lower,6
central america,renal_carcinoma,upper,85
central america,unspecified_renal,incidence,40
central america,unspecified_renal,lower,12
central america,unspecified_renal,upper,93
south america,renal_tumours,incidence,921
south america,renal_tumours,lower,618
south america,renal_tumours,upper,1263
south america,nephroblastoma,incidence,822
south america,nephroblastoma,lower,532
south america,nephroblastoma,upper,1165
south america,renal_carcinoma,incidence,51
south america,renal_carcinoma,lower,26
south america,renal_carcinoma,upper,83
south america,unspecified_renal,incidence,48
south america,unspecified_renal,lower,27
south america,unspecified_renal,upper,71
oceania,renal_tumours,incidence,19
oceania,renal_tumours,lower,4
oceania,renal_tumours,upper,36
oceania,nephroblastoma,incidence,17
oceania,nephroblastoma,lower,3
oceania,nephroblastoma,upper,34
oceania,renal_carcinoma,incidence,1
oceania,renal_carcinoma,lower,0
oceania,renal_carcinoma,upper,5
oceania,unspecified_renal,incidence,0
oceania,unspecified_renal,lower,0
oceania,unspecified_renal,upper,2
australia/new zealand,renal_tumours,incidence,42
australia/new zealand,renal_tumours,lower,14
australia/new zealand,renal_tumours,upper,69
australia/new zealand,nephroblastoma,incidence,41
australia/new zealand,nephroblastoma,lower,14
australia/new zealand,nephroblastoma,upper,68
australia/new zealand,renal_carcinoma,incidence,1
australia/new zealand,renal_carcinoma,lower,0
australia/new zealand,renal_carcinoma,upper,3
australia/new zealand,unspecified_renal,incidence,0
australia/new zealand,unspecified_renal,lower,0
australia/new zealand,unspecified_renal,upper,2
