region,disease,data,val
western asia,unspecified_lymphoma,incidence,50
western asia,unspecified_lymphoma,lower,27
western asia,unspecified_lymphoma,upper,82
eastern europe,lymphoma_related,incidence,835
eastern europe,lymphoma_related,lower,614
eastern europe,lymphoma_related,upper,1057
eastern europe,hodgkin,incidence,364
eastern europe,hodgkin,lower,202
eastern europe,hodgkin,upper,505
eastern europe,non_hodgkin_except_bl,incidence,279
eastern europe,non_hodgkin_except_bl,lower,141
eastern europe,non_hodgkin_except_bl,upper,416
eastern europe,burkitt_bl,incidence,118
eastern europe,burkitt_bl,lower,72
eastern europe,burkitt_bl,upper,186
eastern europe,lymphoreticular,incidence,52
eastern europe,lymphoreticular,lower,17
eastern europe,lymphoreticular,upper,94
eastern europe,unspecified_lymphoma,incidence,22
eastern europe,unspecified_lymphoma,lower,7
eastern europe,unspecified_lymphoma,upper,41
northern europe,lymphoma_related,incidence,241
northern europe,lymphoma_related,lower,181
northern europe,lymphoma_related,upper,305
northern europe,hodgkin,incidence,93
northern europe,hodgkin,lower,47
northern europe,hodgkin,upper,129
northern europe,non_hodgkin_except_bl,incidence,92
northern europe,non_hodgkin_except_bl,lower,54
northern europe,non_hodgkin_except_bl,upper,126
northern europe,burkitt_bl,incidence,32
northern europe,burkitt_bl,lower,13
northern europe,burkitt_bl,upper,51
northern europe,lymphoreticular,incidence,13
northern europe,lymphoreticular,lower,5
northern europe,lymphoreticular,upper,21
northern europe,unspecified_lymphoma,incidence,11
northern europe,unspecified_lymphoma,lower,5
northern europe,unspecified_lymphoma,upper,20
southern europe,lymphoma_related,incidence,484
southern europe,lymphoma_related,lower,395
southern europe,lymphoma_related,upper,577
southern europe,hodgkin,incidence,191
southern europe,hodgkin,lower,133
southern europe,hodgkin,upper,249
southern europe,non_hodgkin_except_bl,incidence,144
southern europe,non_hodgkin_except_bl,lower,101
southern europe,non_hodgkin_except_bl,upper,184
southern europe,burkitt_bl,incidence,99
southern europe,burkitt_bl,lower,59
southern europe,burkitt_bl,upper,135
southern europe,lymphoreticular,incidence,36
southern europe,lymphoreticular,lower,20
southern europe,lymphoreticular,upper,56
southern europe,unspecified_lymphoma,incidence,13
southern europe,unspecified_lymphoma,lower,4
southern europe,unspecified_lymphoma,upper,27
western europe,lymphoma_related,incidence,523
western europe,lymphoma_related,lower,416
western europe,lymphoma_related,upper,609
western europe,hodgkin,incidence,202
western europe,hodgkin,lower,124
western europe,hodgkin,upper,269
western europe,non_hodgkin_except_bl,incidence,163
western europe,non_hodgkin_except_bl,lower,96
western europe,non_hodgkin_except_bl,upper,231
western europe,burkitt_bl,incidence,105
western europe,burkitt_bl,lower,61
western europe,burkitt_bl,upper,144
western europe,lymphoreticular,incidence,48
western europe,lymphoreticular,lower,22
western europe,lymphoreticular,upper,84
western europe,unspecified_lymphoma,incidence,5
western europe,unspecified_lymphoma,lower,1
western europe,unspecified_lymphoma,upper,12
northern america,lymphoma_related,incidence,1152
northern america,lymphoma_related,lower,959
northern america,lymphoma_related,upper,1340
northern america,hodgkin,incidence,394
northern america,hodgkin,lower,223
northern america,hodgkin,upper,505
northern america,non_hodgkin_except_bl,incidence,441
northern america,non_hodgkin_except_bl,lower,281
northern america,non_hodgkin_except_bl,upper,555
northern america,burkitt_bl,incidence,170
northern america,burkitt_bl,lower,94
northern america,burkitt_bl,upper,232
northern america,lymphoreticular,incidence,125
northern america,lymphoreticular,lower,64
northern america,lymphoreticular,upper,175
northern america,unspecified_lymphoma,incidence,22
northern america,unspecified_lymphoma,lower,11
northern america,unspecified_lymphoma,upper,34
caribbean,lymphoma_related,incidence,208
caribbean,lymphoma_related,lower,133
caribbean,lymphoma_related,upper,304
caribbean,hodgkin,incidence,73
caribbean,hodgkin,lower,41
caribbean,hodgkin,upper,118
caribbean,non_hodgkin_except_bl,incidence,102
caribbean,non_hodgkin_except_bl,lower,42
caribbean,non_hodgkin_except_bl,upper,196
caribbean,burkitt_bl,incidence,16
caribbean,burkitt_bl,lower,6
caribbean,burkitt_bl,upper,29
caribbean,lymphoreticular,incidence,7
caribbean,lymphoreticular,lower,1
caribbean,lymphoreticular,upper,16
caribbean,unspecified_lymphoma,incidence,9
caribbean,unspecified_lymphoma,lower,2
caribbean,unspecified_lymphoma,upper,18
central america,lymphoma_related,incidence,1314
central america,lymphoma_related,lower,977
central america,lymphoma_related,upper,1735
central america,hodgkin,incidence,508
central america,hodgkin,lower,263
central america,hodgkin,upper,730
central america,non_hodgkin_except_bl,incidence,509
central america,non_hodgkin_except_bl,lower,213
central america,non_hodgkin_except_bl,upper,761
central america,burkitt_bl,incidence,158
central america,burkitt_bl,lower,86
central america,burkitt_bl,upper,233
central america,lymphoreticular,incidence,95
central america,lymphoreticular,lower,34
central america,lymphoreticular,upper,158
central america,unspecified_lymphoma,incidence,45
central america,unspecified_lymphoma,lower,22
central america,unspecified_lymphoma,upper,70
south america,lymphoma_related,incidence,2569
south america,lymphoma_related,lower,1991
south america,lymphoma_related,upper,3137
south america,hodgkin,incidence,911
south america,hodgkin,lower,561
south america,hodgkin,upper,1271
south america,non_hodgkin_except_bl,incidence,872
south america,non_hodgkin_except_bl,lower,572
south america,non_hodgkin_except_bl,upper,1245
south america,burkitt_bl,incidence,415
south america,burkitt_bl,lower,249
south america,burkitt_bl,upper,595
south america,lymphoreticular,incidence,191
south america,lymphoreticular,lower,106
south america,lymphoreticular,upper,296
south america,unspecified_lymphoma,incidence,181
south america,unspecified_lymphoma,lower,101
south america,unspecified_lymphoma,upper,270
oceania,lymphoma_related,incidence,40
oceania,lymphoma_related,lower,19
oceania,lymphoma_related,upper,65
oceania,hodgkin,incidence,13
oceania,hodgkin,lower,4
oceania,hodgkin,upper,25
oceania,non_hodgkin_except_bl,incidence,14
oceania,non_hodgkin_except_bl,lower,2
oceania,non_hodgkin_except_bl,upper,31
oceania,burkitt_bl,incidence,9
oceania,burkitt_bl,lower,1
oceania,burkitt_bl,upper,19
oceania,lymphoreticular,incidence,2
oceania,lymphoreticular,lower,0
oceania,lymphoreticular,upper,7
oceania,unspecified_lymphoma,incidence,2
oceania,unspecified_lymphoma,lower,0
oceania,unspecified_lymphoma,upper,6
australia/new zealand,lymphoma_related,incidence,74
australia/new zealand,lymphoma_related,lower,44
australia/new zealand,lymphoma_related,upper,103
australia/new zealand,hodgkin,incidence,26
australia/new zealand,hodgkin,lower,8
australia/new zealand,hodgkin,upper,43
australia/new zealand,non_hodgkin_except_bl,incidence,30
australia/new zealand,non_hodgkin_except_bl,lower,11
australia/new zealand,non_hodgkin_except_bl,upper,52
australia/new zealand,burkitt_bl,incidence,13
australia/new zealand,burkitt_bl,lower,4
australia/new zealand,burkitt_bl,upper,24
australia/new zealand,lymphoreticular,incidence,4
australia/new zealand,lymphoreticular,lower,0
australia/new zealand,lymphoreticular,upper,10
australia/new zealand,unspecified_lymphoma,incidence,1
australia/new zealand,unspecified_lymphoma,lower,0
australia/new zealand,unspecified_lymphoma,upper,3
