region,disease,data,val
western asia,carcinoma_melanoma,incidence,469
western asia,carcinoma_melanoma,lower,375
western asia,carcinoma_melanoma,upper,578
western asia,adrenocortical,incidence,24
western asia,adrenocortical,lower,12
western asia,adrenocortical,upper,40
western asia,thyroid,incidence,147
western asia,thyroid,lower,89
western asia,thyroid,upper,219
western asia,nasopharyngeal,incidence,83
western asia,nasopharyngeal,lower,49
western asia,nasopharyngeal,upper,136
western asia,melanoma,incidence,44
western asia,melanoma,lower,22
western asia,melanoma,upper,76
western asia,skin_carcinoma,incidence,39
western asia,skin_carcinoma,lower,19
western asia,skin_carcinoma,upper,64
western asia,unspecified_carcinoma,incidence,132
western asia,unspecified_carcinoma,lower,81
western asia,unspecified_carcinoma,upper,196
eastern europe,carcinoma_melanoma,incidence,256
eastern europe,carcinoma_melanoma,lower,184
eastern europe,carcinoma_melanoma,upper,344
eastern europe,adrenocortical,incidence,9
eastern europe,adrenocortical,lower,2
eastern europe,adrenocortical,upper,20
eastern europe,thyroid,incidence,119
eastern europe,thyroid,lower,63
eastern europe,thyroid,upper,198
eastern europe,nasopharyngeal,incidence,15
eastern europe,nasopharyngeal,lower,4
eastern europe,nasopharyngeal,upper,32
eastern europe,melanoma,incidence,35
eastern europe,melanoma,lower,16
eastern europe,melanoma,upper,58
eastern europe,skin_carcinoma,incidence,16
eastern europe,skin_carcinoma,lower,6
eastern europe,skin_carcinoma,upper,30
eastern europe,unspecified_carcinoma,incidence,60
eastern europe,unspecified_carcinoma,lower,29
eastern europe,unspecified_carcinoma,upper,95
northern europe,carcinoma_melanoma,incidence,68
northern europe,carcinoma_melanoma,lower,46
northern europe,carcinoma_melanoma,upper,94
northern europe,adrenocortical,incidence,4
northern europe,adrenocortical,lower,0
northern europe,adrenocortical,upper,9
northern europe,thyroid,incidence,16
northern europe,thyroid,lower,6
northern europe,thyroid,upper,28
northern europe,nasopharyngeal,incidence,6
northern europe,nasopharyngeal,lower,1
northern europe,nasopharyngeal,upper,14
northern europe,melanoma,incidence,14
northern europe,melanoma,lower,4
northern europe,melanoma,upper,25
northern europe,skin_carcinoma,incidence,9
northern europe,skin_carcinoma,lower,1
northern europe,skin_carcinoma,upper,19
northern europe,unspecified_carcinoma,incidence,20
northern europe,unspecified_carcinoma,lower,7
