region,disease,data,val
eastern europe,ewing_related,lower,77
eastern europe,ewing_related,upper,168
eastern europe,other_specified_bone,incidence,15
eastern europe,other_specified_bone,lower,6
eastern europe,other_specified_bone,upper,27
eastern europe,unspecified_bone,incidence,18
eastern europe,unspecified_bone,lower,5
eastern europe,unspecified_bone,upper,35
northern europe,bone_tumours,incidence,101
northern europe,bone_tumours,lower,70
northern europe,bone_tumours,upper,137
northern europe,osteosarcoma,incidence,44
northern europe,osteosarcoma,lower,21
northern europe,osteosarcoma,upper,67
northern europe,chondrosarcoma,incidence,3
northern europe,chondrosarcoma,lower,0
northern europe,chondrosarcoma,upper,8
northern europe,ewing_related,incidence,41
northern europe,ewing_related,lower,22
northern europe,ewing_related,upper,61
northern europe,other_specified_bone,incidence,11
northern europe,other_specified_bone,lower,2
northern europe,other_specified_bone,upper,29
northern europe,unspecified_bone,incidence,3
northern europe,unspecified_bone,lower,0
northern europe,unspecified_bone,upper,8
southern europe,bone_tumours,incidence,182
southern europe,bone_tumours,lower,131
southern europe,bone_tumours,upper,231
southern europe,osteosarcoma,incidence,79
southern europe,osteosarcoma,lower,46
southern europe,osteosarcoma,upper,109
southern europe,chondrosarcoma,incidence,4
southern europe,chondrosarcoma,lower,0
southern europe,chondrosarcoma,upper,11
southern europe,ewing_related,incidence,76
southern europe,ewing_related,lower,50
southern europe,ewing_related,upper,106
southern europe,other_specified_bone,incidence,3
southern europe,other_specified_bone,lower,0
southern europe,other_specified_bone,upper,7
southern europe,unspecified_bone,incidence,21
southern europe,unspecified_bone,lower,3
southern europe,unspecified_bone,upper,60
western europe,bone_tumours,incidence,219
western europe,bone_tumours,lower,171
western europe,bone_tumours,upper,270
western europe,osteosarcoma,incidence,104
western europe,osteosarcoma,lower,66
western europe,osteosarcoma,upper,140
western europe,chondrosarcoma,incidence,6
western europe,chondrosarcoma,lower,1
western europe,chondrosarcoma,upper,13
western europe,ewing_related,incidence,97
western europe,ewing_related,lower,68
western europe,ewing_related,upper,130
western europe,other_specified_bone,incidence,9
western europe,other_specified_bone,lower,2
western europe,other_specified_bone,upper,19
western europe,unspecified_bone,incidence,4
western europe,unspecified_bone,lower,0
western europe,unspecified_bone,upper,9
northern america,bone_tumours,incidence,451
northern america,bone_tumours,lower,339
northern america,bone_tumours,upper,545
northern america,osteosarcoma,incidence,248
northern america,osteosarcoma,lower,142
northern america,osteosarcoma,upper,315
northern america,chondrosarcoma,incidence,11
northern america,chondrosarcoma,lower,4
