region,disease,data,val
northern america,neuroblastoma,lower,619
northern america,neuroblastoma,upper,896
northern america,ganglio_neuroblastoma,incidence,743
northern america,ganglio_neuroblastoma,lower,605
northern america,ganglio_neuroblastoma,upper,884
northern america,peripheral_nervous,incidence,10
northern america,peripheral_nervous,lower,4
northern america,peripheral_nervous,upper,18
northern america,retinoblastoma,incidence,269
northern america,retinoblastoma,lower,195
northern america,retinoblastoma,upper,349
caribbean,neuroblastoma,incidence,96
caribbean,neuroblastoma,lower,53
caribbean,neuroblastoma,upper,155
caribbean,ganglio_neuroblastoma,incidence,93
caribbean,ganglio_neuroblastoma,lower,51
caribbean,ganglio_neuroblastoma,upper,153
caribbean,peripheral_nervous,incidence,2
caribbean,peripheral_nervous,lower,0
caribbean,peripheral_nervous,upper,7
caribbean,retinoblastoma,incidence,42
caribbean,retinoblastoma,lower,20
caribbean,retinoblastoma,upper,80
central america,neuroblastoma,incidence,255
central america,neuroblastoma,lower,120
central america,neuroblastoma,upper,386
central america,ganglio_neuroblastoma,incidence,239
central america,ganglio_neuroblastoma,lower,107
central america,ganglio_neuroblastoma,upper,371
central america,peripheral_nervous,incidence,16
central america,peripheral_nervous,lower,2
central america,peripheral_nervous,upper,46
central america,retinoblastoma,incidence,302
central america,retinoblastoma,lower,144
central america,retinoblastoma,upper,434
south america,neuroblastoma,incidence,714
south america,neuroblastoma,lower,409
south america,neuroblastoma,upper,968
south america,ganglio_neuroblastoma,incidence,675
south america,ganglio_neuroblastoma,lower,385
south america,ganglio_neuroblastoma,upper,935
south america,peripheral_nervous,incidence,39
south america,peripheral_nervous,lower,17
south america,peripheral_nervous,upper,63
south america,retinoblastoma,incidence,657
south america,retinoblastoma,lower,461
south america,retinoblastoma,upper,906
oceania,neuroblastoma,incidence,26
oceania,neuroblastoma,lower,10
oceania,neuroblastoma,upper,50
oceania,ganglio_neuroblastoma,incidence,24
oceania,ganglio_neuroblastoma,lower,9
oceania,ganglio_neuroblastoma,upper,47
oceania,peripheral_nervous,incidence,2
oceania,peripheral_nervous,lower,0
oceania,peripheral_nervous,upper,7
oceania,retinoblastoma,incidence,16
oceania,retinoblastoma,lower,2
oceania,retinoblastoma,upper,32
australia/new zealand,neuroblastoma,incidence,58
australia/new zealand,neuroblastoma,lower,34
australia/new zealand,neuroblastoma,upper,89
australia/new zealand,ganglio_neuroblastoma,incidence,56
australia/new zealand,ganglio_neuroblastoma,lower,32
australia/new zealand,ganglio_neuroblastoma,upper,86
australia/new zealand,peripheral_nervous,incidence,2
australia/new zealand,peripheral_nervous,lower,0
australia/new zealand,peripheral_nervous,upper,6
australia/new zealand,retinoblastoma,incidence,26
australia/new zealand,retinoblastoma,lower,11
australia/new zealand,retinoblastoma,upper,49
