region,disease,data,val
western asia,gonadal_germ_cell,upper,252
western asia,gonadal_carcinoma,incidence,17
western asia,gonadal_carcinoma,lower,3
western asia,gonadal_carcinoma,upper,37
western asia,unspecified_gonadal,incidence,17
western asia,unspecified_gonadal,lower,4
western asia,unspecified_gonadal,upper,39
eastern europe,germ_cell_tumours,incidence,197
eastern europe,germ_cell_tumours,lower,141
eastern europe,germ_cell_tumours,upper,259
eastern europe,cns_germ_cell,incidence,30
eastern europe,cns_germ_cell,lower,14
eastern europe,cns_germ_cell,upper,48
eastern europe,other_extragonadal,incidence,51
eastern europe,other_extragonadal,lower,25
eastern europe,other_extragonadal,upper,81
eastern europe,gonadal_germ_cell,incidence,94
eastern europe,gonadal_germ_cell,lower,49
eastern europe,gonadal_germ_cell,upper,147
eastern europe,gonadal_carcinoma,incidence,10
eastern europe,gonadal_carcinoma,lower,3
eastern europe,gonadal_carcinoma,upper,20
eastern europe,unspecified_gonadal,incidence,11
eastern europe,unspecified_gonadal,lower,3
eastern europe,unspecified_gonadal,upper,22
northern europe,germ_cell_tumours,incidence,70
northern europe,germ_cell_tumours,lower,48
northern europe,germ_cell_tumours,upper,96
northern europe,cns_germ_cell,incidence,16
northern europe,cns_germ_cell,lower,6
northern europe,cns_germ_cell,upper,28
northern europe,other_extragonadal,incidence,18
northern europe,other_extragonadal,lower,6
northern europe,other_extragonadal,upper,32
northern europe,gonadal_germ_cell,incidence,30
northern europe,gonadal_germ_cell,lower,16
northern europe,gonadal_germ_cell,upper,46
northern europe,gonadal_carcinoma,incidence,2
northern europe,gonadal_carcinoma,lower,0
northern europe,gonadal_carcinoma,upper,5
northern europe,unspecified_gonadal,incidence,5
northern europe,unspecified_gonadal,lower,0
northern europe,unspecified_gonadal,upper,13
southern europe,germ_cell_tumours,incidence,106
southern europe,germ_cell_tumours,lower,79
southern europe,germ_cell_tumours,upper,135
southern europe,cns_germ_cell,incidence,23
southern europe,cns_germ_cell,lower,11
southern europe,cns_germ_cell,upper,36
southern europe,other_extragonadal,incidence,25
southern europe,other_extragonadal,lower,13
southern europe,other_extragonadal,upper,37
southern europe,gonadal_germ_cell,incidence,51
southern europe,gonadal_germ_cell,lower,33
southern europe,gonadal_germ_cell,upper,70
southern europe,gonadal_carcinoma,incidence,2
southern europe,gonadal_carcinoma,lower,0
southern europe,gonadal_carcinoma,upper,6
southern europe,unspecified_gonadal,incidence,6
southern europe,unspecified_gonadal,lower,0
southern europe,unspecified_gonadal,upper,19
western europe,germ_cell_tumours,incidence,132
western europe,germ_cell_tumours,lower,99
western europe,germ_cell_tumours,upper,166
western europe,cns_germ_cell,incidence,31
western europe,cns_germ_cell,lower,17
western europe,cns_germ_cell,upper,48
western europe,other_extragonadal,incidence,35
western europe,other_extragonadal,lower,16
western europe,other_extragonadal,upper,53
