region,disease,data,val
northern europe,leukaemia,incidence,851
northern europe,leukaemia,lower,714
northern europe,leukaemia,upper,994
northern europe,lymphoid,incidence,690
northern europe,lymphoid,lower,555
northern europe,lymphoid,upper,827
northern europe,acute_myeloid,incidence,120
northern europe,acute_myeloid,lower,65
northern europe,acute_myeloid,upper,162
northern europe,cmd,incidence,11
northern europe,cmd,lower,3
northern europe,cmd,upper,21
northern europe,mds_other,incidence,14
northern europe,mds_other,lower,4
northern europe,mds_other,upper,26
northern europe,unspecified_leukaemia,incidence,16
northern europe,unspecified_leukaemia,lower,6
northern europe,unspecified_leukaemia,upper,26
southern europe,leukaemia,incidence,1135
southern europe,leukaemia,lower,967
southern europe,leukaemia,upper,1277
southern europe,lymphoid,incidence,918
southern europe,lymphoid,lower,758
southern europe,lymphoid,upper,1062
southern europe,acute_myeloid,incidence,158
southern europe,acute_myeloid,lower,110
southern europe,acute_myeloid,upper,203
southern europe,cmd,incidence,23
southern europe,cmd,lower,13
southern europe,cmd,upper,37
southern europe,mds_other,incidence,15
southern europe,mds_other,lower,7
southern europe,mds_other,upper,25
southern europe,unspecified_leukaemia,incidence,20
southern europe,unspecified_leukaemia,lower,9
southern europe,unspecified_leukaemia,upper,34
western europe,leukaemia,incidence,1357
western europe,leukaemia,lower,1179
western europe,leukaemia,upper,1566
western europe,lymphoid,incidence,1082
western europe,lymphoid,lower,913
western europe,lymphoid,upper,1280
western europe,acute_myeloid,incidence,198
western europe,acute_myeloid,lower,128
western europe,acute_myeloid,upper,253
western europe,cmd,incidence,25
western europe,cmd,lower,12
western europe,cmd,upper,40
western europe,mds_other,incidence,39
western europe,mds_other,lower,18
western europe,mds_other,upper,61
western europe,unspecified_leukaemia,incidence,13
western europe,unspecified_leukaemia,lower,3
western europe,unspecified_leukaemia,upper,26
northern america,leukaemia,incidence,3431
northern america,leukaemia,lower,3165
northern america,leukaemia,upper,3790
northern america,lymphoid,incidence,2677
northern america,lymphoid,lower,2470
northern america,lymphoid,upper,2951
northern america,acute_myeloid,incidence,499
northern america,acute_myeloid,lower,332
northern america,acute_myeloid,upper,610
northern america,cmd,incidence,94
northern america,cmd,lower,47
northern america,cmd,upper,128
northern america,mds_other,incidence,74
northern america,mds_other,lower,14
northern america,mds_other,upper,111
northern america,unspecified_leukaemia,incidence,86
northern america,unspecified_leukaemia,lower,49
northern america,unspecified_leukaemia,upper,126
caribbean,leukaemia,incidence,446
caribbean,leukaemia,lower,294
caribbean,leukaemia,upper,664
caribbean,lymphoid,incidence,316
caribbean,lymphoid,lower,157
caribbean,lymphoid,upper,525
caribbean,acute_myeloid,incidence,68
caribbean,acute_myeloid,lower,35
caribbean,acute_myeloid,upper,119
caribbean,cmd,incidence,16
caribbean,cmd,lower,6
caribbean,cmd,upper,29
caribbean,mds_other,incidence,3
caribbean,mds_other,lower,0
caribbean,mds_other,upper,14
caribbean,unspecified_leukaemia,incidence,43
caribbean,unspecified_leukaemia,lower,23
caribbean,unspecified_leukaemia,upper,70
central america,leukaemia,incidence,4454
central america,leukaemia,lower,2797
central america,leukaemia,upper,5828
central america,lymphoid,incidence,3696
central america,lymphoid,lower,2197
central america,lymphoid,upper,4934
central america,acute_myeloid,incidence,585
central america,acute_myeloid,lower,286
central america,acute_myeloid,upper,833
central america,cmd,incidence,70
central america,cmd,lower,30
central america,cmd,upper,106
central america,mds_other,incidence,36
central america,mds_other,lower,17
central america,mds_other,upper,62
central america,unspecified_leukaemia,incidence,66
central america,unspecified_leukaemia,lower,24
central america,unspecified_leukaemia,upper,111
south america,leukaemia,incidence,7290
south america,leukaemia,lower,5631
south america,leukaemia,upper,8521
south america,lymphoid,incidence,5468
south america,lymphoid,lower,4158
south america,lymphoid,upper,6718
south america,acute_myeloid,incidence,1128
south america,acute_myeloid,lower,696
south america,acute_myeloid,upper,1503
south america,cmd,incidence,121
south america,cmd,lower,72
south america,cmd,upper,183
south america,mds_other,incidence,72
south america,mds_other,lower,42
south america,mds_other,upper,108
south america,unspecified_leukaemia,incidence,502
south america,unspecified_leukaemia,lower,280
south america,unspecified_leukaemia,upper,760
oceania,leukaemia,incidence,176
oceania,leukaemia,lower,93
oceania,leukaemia,upper,282
oceania,lymphoid,incidence,119
oceania,lymphoid,lower,36
oceania,lymphoid,upper,201
oceania,acute_myeloid,incidence,39
oceania,acute_myeloid,lower,7
oceania,acute_myeloid,upper,70
oceania,cmd,incidence,6
oceania,cmd,lower,0
oceania,cmd,upper,14
oceania,mds_other,incidence,5
oceania,mds_other,lower,0
oceania,mds_other,upper,13
oceania,unspecified_leukaemia,incidence,9
oceania,unspecified_leukaemia,lower,0
oceania,unspecified_leukaemia,upper,22
australia/new zealand,leukaemia,incidence,306
australia/new zealand,leukaemia,lower,249
australia/new zealand,leukaemia,upper,397
australia/new zealand,lymphoid,incidence,245
australia/new zealand,lymphoid,lower,190
australia/new zealand,lymphoid,upper,318
australia/new zealand,acute_myeloid,incidence,49
australia/new zealand,acute_myeloid,lower,27
australia/new zealand,acute_myeloid,upper,78
australia/new zealand,cmd,incidence,5
australia/new zealand,cmd,lower,1
australia/new zealand,cmd,upper,13
australia/new zealand,mds_other,incidence,3
australia/new zealand,mds_other,lower,0
australia/new zealand,mds_other,upper,9
australia/new zealand,unspecified_leukaemia,incidence,3
australia/new zealand,unspecified_leukaemia,lower,0
australia/new zealand,unspecified_leukaemia,upper,8
