region,disease,data,val
western asia,ependymoma,incidence,203
western asia,ependymoma,lower,127
western asia,ependymoma,upper,311
western asia,astrocytoma,incidence,583
western asia,astrocytoma,lower,337
western asia,astrocytoma,upper,853
western asia,cns_embryonal,incidence,546
western asia,cns_embryonal,lower,360
western asia,cns_embryonal,upper,792
western asia,other_gliomas,incidence,261
western asia,other_gliomas,lower,172
western asia,other_gliomas,upper,400
western asia,other_specified_cns,incidence,123
western asia,other_specified_cns,lower,66
western asia,other_specified_cns,upper,190
western asia,unspecified_cns,incidence,139
western asia,unspecified_cns,lower,81
western asia,unspecified_cns,upper,218
eastern europe,cns_neoplasms,incidence,1384
eastern europe,cns_neoplasms,lower,1111
eastern europe,cns_neoplasms,upper,1630
eastern europe,ependymoma,incidence,148
eastern europe,ependymoma,lower,84
eastern europe,ependymoma,upper,218
eastern europe,astrocytoma,incidence,531
eastern europe,astrocytoma,lower,277
eastern europe,astrocytoma,upper,722
eastern europe,cns_embryonal,incidence,360
eastern europe,cns_embryonal,lower,215
eastern europe,cns_embryonal,upper,492
eastern europe,other_gliomas,incidence,94
eastern europe,other_gliomas,lower,45
eastern europe,other_gliomas,upper,161
eastern europe,other_specified_cns,incidence,60
eastern europe,other_specified_cns,lower,35
eastern europe,other_specified_cns,upper,97
eastern europe,unspecified_cns,incidence,190
eastern europe,unspecified_cns,lower,113
eastern europe,unspecified_cns,upper,325
northern europe,cns_neoplasms,incidence,622
northern europe,cns_neoplasms,lower,507
northern europe,cns_neoplasms,upper,729
northern europe,ependymoma,incidence,60
northern europe,ependymoma,lower,32
northern europe,ependymoma,upper,89
northern europe,astrocytoma,incidence,266
northern europe,astrocytoma,lower,165
northern europe,astrocytoma,upper,350
northern europe,cns_embryonal,incidence,118
northern europe,cns_embryonal,lower,68
northern europe,cns_embryonal,upper,164
northern europe,other_gliomas,incidence,47
northern europe,other_gliomas,lower,22
northern europe,other_gliomas,upper,72
northern europe,other_specified_cns,incidence,58
northern europe,other_specified_cns,lower,31
northern europe,other_specified_cns,upper,87
northern europe,unspecified_cns,incidence,73
northern europe,unspecified_cns,lower,38
northern europe,unspecified_cns,upper,100
southern europe,cns_neoplasms,incidence,777
southern europe,cns_neoplasms,lower,669
southern europe,cns_neoplasms,upper,897
southern europe,ependymoma,incidence,83
southern europe,ependymoma,lower,52
southern europe,ependymoma,upper,114
southern europe,astrocytoma,incidence,309
southern europe,astrocytoma,lower,221
southern europe,astrocytoma,upper,396
southern europe,cns_embryonal,incidence,164
southern europe,cns_embryonal,lower,114
southern europe,cns_embryonal,upper,210
southern europe,other_gliomas,incidence,68
southern europe,other_gliomas,lower,44
southern europe,other_gliomas,upper,92
southern europe,other_specified_cns,incidence,75
southern europe,other_specified_cns,lower,45
southern europe,other_specified_cns,upper,106
southern europe,unspecified_cns,incidence,78
southern europe,unspecified_cns,lower,42
southern europe,unspecified_cns,upper,119
