region,disease,data,val
northern america,hepatic_tumours,lower,110
northern america,hepatic_tumours,upper,231
northern america,hepatoblastoma,incidence,148
northern america,hepatoblastoma,lower,84
northern america,hepatoblastoma,upper,201
northern america,hepatic_carcinoma,incidence,25
northern america,hepatic_carcinoma,lower,11
northern america,hepatic_carcinoma,upper,38
northern america,unspecified_hepatic,incidence,3
northern america,unspecified_hepatic,lower,0
northern america,unspecified_hepatic,upper,7
caribbean,hepatic_tumours,incidence,17
caribbean,hepatic_tumours,lower,7
caribbean,hepatic_tumours,upper,30
caribbean,hepatoblastoma,incidence,11
caribbean,hepatoblastoma,lower,3
caribbean,hepatoblastoma,upper,22
caribbean,hepatic_carcinoma,incidence,5
caribbean,hepatic_carcinoma,lower,1
caribbean,hepatic_carcinoma,upper,12
caribbean,unspecified_hepatic,incidence,1
caribbean,unspecified_hepatic,lower,0
caribbean,unspecified_hepatic,upper,7
central america,hepatic_tumours,incidence,250
central america,hepatic_tumours,lower,133
central america,hepatic_tumours,upper,408
central america,hepatoblastoma,incidence,158
central america,hepatoblastoma,lower,61
central america,hepatoblastoma,upper,283
central america,hepatic_carcinoma,incidence,59
central america,hepatic_carcinoma,lower,25
central america,hepatic_carcinoma,upper,113
central america,unspecified_hepatic,incidence,33
central america,unspecified_hepatic,lower,7
central america,unspecified_hepatic,upper,83
south america,hepatic_tumours,incidence,308
south america,hepatic_tumours,lower,218
south america,hepatic_tumours,upper,394
south america,hepatoblastoma,incidence,190
south america,hepatoblastoma,lower,104
south america,hepatoblastoma,upper,266
south america,hepatic_carcinoma,incidence,55
south america,hepatic_carcinoma,lower,35
south america,hepatic_carcinoma,upper,81
south america,unspecified_hepatic,incidence,63
south america,unspecified_hepatic,lower,39
south america,unspecified_hepatic,upper,94
oceania,hepatic_tumours,incidence,10
oceania,hepatic_tumours,lower,2
oceania,hepatic_tumours,upper,22
oceania,hepatoblastoma,incidence,5
oceania,hepatoblastoma,lower,0
oceania,hepatoblastoma,upper,15
oceania,hepatic_carcinoma,incidence,3
oceania,hepatic_carcinoma,lower,0
oceania,hepatic_carcinoma,upper,10
oceania,unspecified_hepatic,incidence,2
oceania,unspecified_hepatic,lower,0
oceania,unspecified_hepatic,upper,7
australia/new zealand,hepatic_tumours,incidence,11
australia/new zealand,hepatic_tumours,lower,4
australia/new zealand,hepatic_tumours,upper,21
australia/new zealand,hepatoblastoma,incidence,9
australia/new zealand,hepatoblastoma,lower,2
australia/new zealand,hepatoblastoma,upper,19
australia/new zealand,hepatic_carcinoma,incidence,1
australia/new zealand,hepatic_carcinoma,lower,0
australia/new zealand,hepatic_carcinoma,upper,3
australia/new zealand,unspecified_hepatic,incidence,1
australia/new zealand,unspecified_hepatic,lower,0
australia/new zealand,unspecified_hepatic,upper,5
