region,disease,incidence,lower,upper
western europe,other_unspecified,11,2,23
northern america,other_specified,20,9,33
northern america,other_unspecified,33,17,52
caribbean,other_specified,5,0,19
caribbean,other_unspecified,35,15,60
central america,other_specified,31,12,81
central america,other_unspecified,375,135,851
south america,other_specified,54,26,114
south america,other_unspecified,250,128,383
oceania,other_specified,3,0,8
oceania,other_unspecified,4,0,12
australia/new zealand,other_specified,1,0,3
australia/new zealand,other_unspecified,1,0,4
eastern africa,nephroblastoma,3194,2214,5220
eastern africa,renal_carcinoma,517,90,1776
eastern africa,unspecified_renal,246,144,419
southern africa,nephroblastoma,783,504,1262
southern africa,renal_carcinoma,46,8,148
southern africa,unspecified_renal,91,32,194
western africa,nephroblastoma,6198,2858,11362
western africa,renal_carcinoma,559,164,1508
western africa,unspecified_renal,2251,1038,4879
northern africa,nephroblastoma,974,598,1307
northern africa,renal_carcinoma,220,70,663
northern africa,unspecified_renal,70,42,103
eastern asia,nephroblastoma,1187,408,1942
eastern asia,renal_carcinoma,103,27,236
eastern asia,unspecified_renal,59,14,107
south-central asia,nephroblastoma,4164,2704,5165
south-central asia,renal_carcinoma,460,288,760
south-central asia,unspecified_renal,358,216,578
south-eastern asia,nephroblastoma,1081,656,1627
south-eastern asia,renal_carcinoma,50,19,90
south-eastern asia,unspecified_renal,95,52,165
western asia,nephroblastoma,542,326,822
western asia,renal_carcinoma,48,21,97
western asia,unspecified_renal,17,3,44
eastern europe,nephroblastoma,463,276,650
eastern europe,renal_carcinoma,15,5,29
eastern europe,unspecified_renal,19,6,35
northern europe,nephroblastoma,126,67,176
northern europe,renal_carcinoma,4,0,10
northern europe,unspecified_renal,7,1,21
southern europe,nephroblastoma,176,126,223
southern europe,renal_carcinoma,8,3,16
southern europe,unspecified_renal,7,1,20
western europe,nephroblastoma,238,175,300
western europe,renal_carcinoma,5,1,15
western europe,unspecified_renal,6,1,14
northern america,nephroblastoma,550,373,665
northern america,renal_carcinoma,22,8,34
northern america,unspecified_renal,4,0,10
caribbean,nephroblastoma,82,43,136
caribbean,renal_carcinoma,3,0,11
caribbean,unspecified_renal,4,0,22
central america,nephroblastoma,340,133,542
central america,renal_carcinoma,36,6,85
central america,unspecified_renal,40,12,93
south america,nephroblastoma,822,532,1165
south america,renal_carcinoma,51,26,83
south america,unspecified_renal,48,27,71
oceania,nephroblastoma,17,3,34
oceania,renal_carcinoma,1,0,5
oceania,unspecified_renal,0,0,2
australia/new zealand,nephroblastoma,41,14,68
australia/new zealand,renal_carcinoma,1,0,3
australia/new zealand,unspecified_renal,0,0,2
eastern africa,rhabdomyosarcoma,1858,1023,3346
eastern africa,fibrosarcoma,354,158,730
eastern africa,kaposi_sarcoma,6081,2794,13236
eastern africa,other_specified_sarcoma,614,304,1030
eastern africa,unspecified_sarcoma,501,287,834
southern africa,rhabdomyosarcoma,342,193,600
southern africa,fibrosarcoma,51,22,117
southern africa,kaposi_sarcoma,479,173,1136
southern africa,other_specified_sarcoma,96,42,198
southern africa,unspecified_sarcoma,28,12,56
western africa,rhabdomyosarcoma,1951,975,3929
western africa,fibrosarcoma,620,235,1401
western africa,kaposi_sarcoma,1220,507,3186
western africa,other_specified_sarcoma,1413,691,2588
western africa,unspecified_sarcoma,745,363,2095
northern africa,rhabdomyosarcoma,468,300,652
northern africa,fibrosarcoma,137,91,198
northern africa,kaposi_sarcoma,231,36,632
northern africa,other_specified_sarcoma,190,96,287
northern africa,unspecified_sarcoma,115,68,185
eastern asia,rhabdomyosarcoma,950,315,1556
eastern asia,fibrosarcoma,202,58,325
eastern asia,kaposi_sarcoma,103,10,365
eastern asia,other_specified_sarcoma,712,298,1089
eastern asia,unspecified_sarcoma,174,67,286
south-central asia,rhabdomyosarcoma,2507,1493,3082
south-central asia,fibrosarcoma,360,247,725
south-central asia,kaposi_sarcoma,183,19,627
south-central asia,other_specified_sarcoma,1285,1018,1639
south-central asia,unspecified_sarcoma,1191,710,1638
south-eastern asia,rhabdomyosarcoma,725,467,1098
south-eastern asia,fibrosarcoma,126,74,201
south-eastern asia,kaposi_sarcoma,66,13,212
south-eastern asia,other_specified_sarcoma,292,161,467
south-eastern asia,unspecified_sarcoma,218,108,400
western asia,rhabdomyosarcoma,377,273,504
western asia,fibrosarcoma,71,43,107
western asia,kaposi_sarcoma,26,7,77
western asia,other_specified_sarcoma,217,139,323
western asia,unspecified_sarcoma,51,27,81
eastern europe,rhabdomyosarcoma,210,114,305
eastern europe,fibrosarcoma,51,29,78
eastern europe,kaposi_sarcoma,5,0,17
eastern europe,other_specified_sarcoma,100,49,148
eastern europe,unspecified_sarcoma,27,12,47
northern europe,rhabdomyosarcoma,74,41,121
northern europe,fibrosarcoma,16,6,29
northern europe,kaposi_sarcoma,5,0,22
northern europe,other_specified_sarcoma,40,21,60
northern europe,unspecified_sarcoma,14,4,27
southern europe,rhabdomyosarcoma,116,76,151
southern europe,fibrosarcoma,12,3,22
southern europe,kaposi_sarcoma,3,0,8
southern europe,other_specified_sarcoma,51,32,74
southern europe,unspecified_sarcoma,21,10,36
western europe,rhabdomyosarcoma,145,89,192
western europe,fibrosarcoma,17,7,28
western europe,kaposi_sarcoma,3,0,12
western europe,other_specified_sarcoma,70,40,99
western europe,unspecified_sarcoma,17,8,27
northern america,rhabdomyosarcoma,323,221,448
northern america,fibrosarcoma,64,28,88
northern america,kaposi_sarcoma,2,0,5
northern america,other_specified_sarcoma,211,75,290
northern america,unspecified_sarcoma,67,37,94
caribbean,rhabdomyosarcoma,37,17,60
caribbean,fibrosarcoma,8,2,17
caribbean,kaposi_sarcoma,26,2,95
caribbean,other_specified_sarcoma,22,9,44
caribbean,unspecified_sarcoma,9,1,20
central america,rhabdomyosarcoma,238,108,351
central america,fibrosarcoma,65,30,98
central america,kaposi_sarcoma,151,10,492
central america,other_specified_sarcoma,118,37,235
central america,unspecified_sarcoma,55,15,123
south america,rhabdomyosarcoma,560,305,758
south america,fibrosarcoma,138,89,194
south america,kaposi_sarcoma,256,24,945
south america,other_specified_sarcoma,272,159,386
south america,unspecified_sarcoma,114,68,167
oceania,rhabdomyosarcoma,11,2,23
oceania,fibrosarcoma,5,0,13
oceania,kaposi_sarcoma,20,1,62
oceania,other_specified_sarcoma,12,2,24
oceania,unspecified_sarcoma,3,0,8
australia/new zealand,rhabdomyosarcoma,28,12,47
australia/new zealand,fibrosarcoma,3,0,8
australia/new zealand,kaposi_sarcoma,21,1,65
australia/new zealand,other_specified_sarcoma,14,4,25
australia/new zealand,unspecified_sarcoma,3,0,8
