region,disease,incidence,lower,upper
northern america,unspecified_carcinoma,109,65,149
caribbean,adrenocortical,2,0,8
caribbean,thyroid,21,8,36
caribbean,nasopharyngeal,6,1,15
caribbean,melanoma,7,1,16
caribbean,skin_carcinoma,20,6,42
caribbean,unspecified_carcinoma,29,13,58
central america,adrenocortical,33,15,67
central america,thyroid,114,55,170
central america,nasopharyngeal,110,53,192
central america,melanoma,46,15,107
central america,skin_carcinoma,144,54,340
central america,unspecified_carcinoma,94,33,191
south america,adrenocortical,63,24,113
south america,thyroid,207,122,302
south america,nasopharyngeal,43,15,94
south america,melanoma,108,68,151
south america,skin_carcinoma,137,66,236
south america,unspecified_carcinoma,197,123,278
oceania,adrenocortical,2,0,5
oceania,thyroid,4,0,10
oceania,nasopharyngeal,1,0,5
oceania,melanoma,5,0,14
oceania,skin_carcinoma,0,0,2
oceania,unspecified_carcinoma,5,0,13
australia/new zealand,adrenocortical,0,0,2
australia/new zealand,thyroid,4,0,12
australia/new zealand,nasopharyngeal,1,0,5
australia/new zealand,melanoma,13,2,27
australia/new zealand,skin_carcinoma,1,0,3
australia/new zealand,unspecified_carcinoma,11,2,21
eastern africa,ependymoma,175,60,406
eastern africa,astrocytoma,536,323,868
eastern africa,cns_embryonal,493,263,1034
eastern africa,other_gliomas,426,248,787
eastern africa,other_specified_cns,182,77,390
eastern africa,unspecified_cns,1093,704,1695
southern africa,ependymoma,77,39,175
southern africa,astrocytoma,197,111,319
southern africa,cns_embryonal,179,110,284
southern africa,other_gliomas,123,75,209
southern africa,other_specified_cns,45,24,82
southern africa,unspecified_cns,175,67,383
western africa,ependymoma,535,222,1218
western africa,astrocytoma,634,245,1395
western africa,cns_embryonal,576,188,1156
western africa,other_gliomas,238,97,440
western africa,other_specified_cns,217,84,536
western africa,unspecified_cns,1275,576,4734
northern africa,ependymoma,233,158,329
northern africa,astrocytoma,656,383,953
northern africa,cns_embryonal,571,313,793
northern africa,other_gliomas,188,115,255
northern africa,other_specified_cns,91,51,150
northern africa,unspecified_cns,429,256,669
eastern asia,ependymoma,671,237,1098
eastern asia,astrocytoma,1620,541,2861
eastern asia,cns_embryonal,1602,697,2518
eastern asia,other_gliomas,805,310,1268
eastern asia,other_specified_cns,326,78,765
eastern asia,unspecified_cns,1394,605,2286
south-central asia,ependymoma,1201,792,1552
south-central asia,astrocytoma,4580,3623,5533
south-central asia,cns_embryonal,3566,2115,4342
south-central asia,other_gliomas,2665,1739,3423
south-central asia,other_specified_cns,337,142,509
south-central asia,unspecified_cns,1458,1050,2189
south-eastern asia,ependymoma,162,91,252
south-eastern asia,astrocytoma,954,573,1478
south-eastern asia,cns_embryonal,896,558,1426
south-eastern asia,other_gliomas,296,175,496
south-eastern asia,other_specified_cns,47,17,120
south-eastern asia,unspecified_cns,877,506,1337
western asia,ependymoma,203,127,311
western asia,astrocytoma,583,337,853
western asia,cns_embryonal,546,360,792
western asia,other_gliomas,261,172,400
western asia,other_specified_cns,123,66,190
western asia,unspecified_cns,139,81,218
eastern europe,ependymoma,148,84,218
eastern europe,astrocytoma,531,277,722
eastern europe,cns_embryonal,360,215,492
eastern europe,other_gliomas,94,45,161
eastern europe,other_specified_cns,60,35,97
eastern europe,unspecified_cns,190,113,325
northern europe,ependymoma,60,32,89
northern europe,astrocytoma,266,165,350
northern europe,cns_embryonal,118,68,164
northern europe,other_gliomas,47,22,72
northern europe,other_specified_cns,58,31,87
northern europe,unspecified_cns,73,38,100
southern europe,ependymoma,83,52,114
southern europe,astrocytoma,309,221,396
southern europe,cns_embryonal,164,114,210
southern europe,other_gliomas,68,44,92
southern europe,other_specified_cns,75,45,106
southern europe,unspecified_cns,78,42,119
western europe,ependymoma,97,65,129
western europe,astrocytoma,383,239,496
western europe,cns_embryonal,200,133,259
western europe,other_gliomas,102,58,146
western europe,other_specified_cns,114,74,159
western europe,unspecified_cns,46,21,71
northern america,ependymoma,228,94,304
northern america,astrocytoma,1093,810,1287
northern america,cns_embryonal,510,398,616
northern america,other_gliomas,359,164,466
northern america,other_specified_cns,285,79,388
northern america,unspecified_cns,85,45,119
caribbean,ependymoma,27,13,43
caribbean,astrocytoma,98,53,163
caribbean,cns_embryonal,57,32,92
caribbean,other_gliomas,24,9,44
caribbean,other_specified_cns,13,3,27
caribbean,unspecified_cns,30,10,52
central america,ependymoma,183,90,311
central america,astrocytoma,519,248,784
central america,cns_embryonal,376,190,576
central america,other_gliomas,88,46,148
central america,other_specified_cns,49,24,98
central america,unspecified_cns,154,79,243
south america,ependymoma,357,232,488
south america,astrocytoma,1032,636,1475
south america,cns_embryonal,782,516,1069
south america,other_gliomas,300,154,428
south america,other_specified_cns,126,72,204
south america,unspecified_cns,494,320,692
oceania,ependymoma,7,1,16
oceania,astrocytoma,20,5,39
oceania,cns_embryonal,31,9,57
oceania,other_gliomas,9,2,20
oceania,other_specified_cns,5,0,12
oceania,unspecified_cns,6,0,16
australia/new zealand,ependymoma,15,4,29
australia/new zealand,astrocytoma,43,16,70
australia/new zealand,cns_embryonal,36,10,64
australia/new zealand,other_gliomas,17,5,31
australia/new zealand,other_specified_cns,2,0,7
australia/new zealand,unspecified_cns,7,1,16
eastern africa,cns_germ_cell,285,118,701
eastern africa,other_extragonadal,233,112,490
eastern africa,gonadal_germ_cell,243,130,386
eastern africa,gonadal_carcinoma,107,44,280
eastern africa,unspecified_gonadal,249,146,410
southern africa,cns_germ_cell,14,4,33
southern africa,other_extragonadal,125,71,215
southern africa,gonadal_germ_cell,69,28,133
southern africa,gonadal_carcinoma,33,9,139
southern africa,unspecified_gonadal,12,1,41
western africa,cns_germ_cell,124,37,274
western africa,other_extragonadal,826,321,3734
western africa,gonadal_germ_cell,588,265,1314
western africa,gonadal_carcinoma,363,156,867
western africa,unspecified_gonadal,398,212,969
northern africa,cns_germ_cell,54,21,302
northern africa,other_extragonadal,78,38,130
northern africa,gonadal_germ_cell,128,70,192
northern africa,gonadal_carcinoma,48,22,109
northern africa,unspecified_gonadal,47,21,86
eastern asia,cns_germ_cell,913,229,1613
eastern asia,other_extragonadal,462,194,750
eastern asia,gonadal_germ_cell,1197,383,1915
eastern asia,gonadal_carcinoma,69,20,145
eastern asia,unspecified_gonadal,69,14,122
south-central asia,cns_germ_cell,204,107,340
south-central asia,other_extragonadal,534,362,796
south-central asia,gonadal_germ_cell,2140,1607,2676
south-central asia,gonadal_carcinoma,384,249,673
south-central asia,unspecified_gonadal,354,253,611
south-eastern asia,cns_germ_cell,159,74,310
south-eastern asia,other_extragonadal,231,139,464
south-eastern asia,gonadal_germ_cell,814,503,1162
south-eastern asia,gonadal_carcinoma,89,48,163
south-eastern asia,unspecified_gonadal,133,73,222
western asia,cns_germ_cell,62,38,94
western asia,other_extragonadal,100,59,145
western asia,gonadal_germ_cell,175,89,252
western asia,gonadal_carcinoma,17,3,37
western asia,unspecified_gonadal,17,4,39
eastern europe,cns_germ_cell,30,14,48
eastern europe,other_extragonadal,51,25,81
eastern europe,gonadal_germ_cell,94,49,147
eastern europe,gonadal_carcinoma,10,3,20
eastern europe,unspecified_gonadal,11,3,22
northern europe,cns_germ_cell,16,6,28
northern europe,other_extragonadal,18,6,32
northern europe,gonadal_germ_cell,30,16,46
northern europe,gonadal_carcinoma,2,0,5
northern europe,unspecified_gonadal,5,0,13
southern europe,cns_germ_cell,23,11,36
southern europe,other_extragonadal,25,13,37
southern europe,gonadal_germ_cell,51,33,70
southern europe,gonadal_carcinoma,2,0,6
southern europe,unspecified_gonadal,6,0,19
western europe,cns_germ_cell,31,17,48
western europe,other_extragonadal,35,16,53
western europe,gonadal_germ_cell,58,34,85
western europe,gonadal_carcinoma,3,0,11
western europe,unspecified_gonadal,4,1,10
northern america,cns_germ_cell,105,46,144
northern america,other_extragonadal,86,49,115
northern america,gonadal_germ_cell,145,97,192
northern america,gonadal_carcinoma,6,1,12
northern america,unspecified_gonadal,11,4,19
caribbean,cns_germ_cell,4,0,11
caribbean,other_extragonadal,11,3,24
caribbean,gonadal_germ_cell,26,10,47
caribbean,gonadal_carcinoma,4,0,21
caribbean,unspecified_gonadal,3,0,12
central america,cns_germ_cell,78,28,146
central america,other_extragonadal,48,20,76
central america,gonadal_germ_cell,324,109,567
central america,gonadal_carcinoma,56,11,239
central america,unspecified_gonadal,36,13,90
south america,cns_germ_cell,87,47,128
south america,other_extragonadal,131,71,196
south america,gonadal_germ_cell,426,283,554
south america,gonadal_carcinoma,58,30,93
south america,unspecified_gonadal,55,34,84
oceania,cns_germ_cell,7,1,19
oceania,other_extragonadal,7,1,16
oceania,gonadal_germ_cell,9,1,22
oceania,gonadal_carcinoma,1,0,3
oceania,unspecified_gonadal,0,0,2
australia/new zealand,cns_germ_cell,7,1,15
australia/new zealand,other_extragonadal,8,2,16
australia/new zealand,gonadal_germ_cell,12,3,22
australia/new zealand,gonadal_carcinoma,1,0,3
australia/new zealand,unspecified_gonadal,0,0,2
eastern africa,hepatoblastoma,275,115,630
eastern africa,hepatic_carcinoma,295,161,581
eastern africa,unspecified_hepatic,262,64,653
southern africa,hepatoblastoma,76,44,115
southern africa,hepatic_carcinoma,44,14,79
southern africa,unspecified_hepatic,9,0,30
western africa,hepatoblastoma,764,265,3851
western africa,hepatic_carcinoma,415,158,905
western africa,unspecified_hepatic,520,193,981
northern africa,hepatoblastoma,125,63,183
northern africa,hepatic_carcinoma,145,75,267
northern africa,unspecified_hepatic,52,24,88
eastern asia,hepatoblastoma,706,282,1049
eastern asia,hepatic_carcinoma,136,42,294
eastern asia,unspecified_hepatic,139,21,372
south-central asia,hepatoblastoma,832,591,1091
south-central asia,hepatic_carcinoma,568,422,792
south-central asia,unspecified_hepatic,211,109,401
south-eastern asia,hepatoblastoma,390,218,634
south-eastern asia,hepatic_carcinoma,142,77,221
south-eastern asia,unspecified_hepatic,261,118,470
western asia,hepatoblastoma,101,55,152
western asia,hepatic_carcinoma,30,14,47
western asia,unspecified_hepatic,18,5,42
eastern europe,hepatoblastoma,86,47,123
eastern europe,hepatic_carcinoma,17,5,34
eastern europe,unspecified_hepatic,9,1,22
northern europe,hepatoblastoma,25,11,40
northern europe,hepatic_carcinoma,8,2,17
northern europe,unspecified_hepatic,4,0,12
